timestamp,elapsed_seconds,system_memory_total_gb,system_memory_used_gb,system_memory_percent,system_memory_available_gb,system_memory_cached_gb,system_memory_buffers_gb,system_swap_total_gb,system_swap_used_gb,system_swap_percent,anem.py_pid,anem.py_memory_mb,anem.py_memory_percent,anem.py_cpu_percent,anem.py_status,pwm.py_pid,pwm.py_memory_mb,pwm.py_memory_percent,pwm.py_cpu_percent,pwm.py_status,gps.py_pid,gps.py_memory_mb,gps.py_memory_percent,gps.py_cpu_percent,gps.py_status,imu.py_pid,imu.py_memory_mb,imu.py_memory_percent,imu.py_cpu_percent,imu.py_status,control.py_pid,control.py_memory_mb,control.py_memory_percent,control.py_cpu_percent,control.py_status,battery_water.py_pid,battery_water.py_memory_mb,battery_water.py_memory_percent,battery_water.py_cpu_percent,battery_water.py_status,temp_monitor.py_pid,temp_monitor.py_memory_mb,temp_monitor.py_memory_percent,temp_monitor.py_cpu_percent,temp_monitor.py_status
2025-09-15 04:16:39,992.3,1.94,0.52,31.7,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:16:50,1002.5,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:17:00,1012.8,1.94,0.52,31.8,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:17:10,1023.0,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:17:21,1033.3,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:17:31,1043.5,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:17:41,1053.8,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:17:51,1064.1,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:18:02,1074.4,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:18:12,1084.6,1.94,0.52,31.9,1.32,0.52,0.14,0.97,0.26,26.5,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
